url,strategy,score,lcp_ms,tbt_ms,cls,fcp_ms,si_ms,field_lcp_ms,field_inp_ms,field_cls
https://pixeltool.pro/tools/css-clamp-calculator,mobile,63,9366,204,0.000,2444,6072,,,
https://pixeltool.pro/tools/flexbox-generator,mobile,52,6557,890,0.058,1352,5200,,,
https://pixeltool.pro/tools/grid-generator,mobile,52,9661,598,0.001,2523,5754,,,
https://pixeltool.pro/tools/css-specificity-calculator,mobile,70,6390,250,0.000,1352,4214,,,
https://pixeltool.pro/tools/css-bezier-curve-generator,mobile,68,7290,44,0.001,2463,5818,,,
https://pixeltool.pro/tools/color-converter,mobile,68,7290,28,0.001,2454,5721,,,
https://pixeltool.pro/tools/css-minifier,mobile,61,6981,384,0.000,1925,5779,,,
https://pixeltool.pro/tools/px-rem-converter,mobile,65,9390,216,0.001,1875,5866,,,
https://pixeltool.pro/tools/css-box-shadow-generator,mobile,51,10053,598,0.001,2520,6037,,,
https://pixeltool.pro/tools/css-gradient-generator,mobile,66,9404,119,0.000,2463,5987,,,
https://pixeltool.pro/tools/color-contrast-checker,mobile,60,6306,549,0.048,1352,4498,,,
https://pixeltool.pro/tools/css-keyframes-generator,mobile,60,9429,302,0.001,2486,5994,,,
https://pixeltool.pro/tools/html-checker,mobile,62,8664,223,0.001,2617,5885,,,
https://pixeltool.pro/tools/html-xml-parser,mobile,67,7738,64,0.001,2611,5782,,,
https://pixeltool.pro/tools/favicon-generator,mobile,59,9636,398,0.000,1897,5843,,,
https://pixeltool.pro/tools/opengraph-validator,mobile,61,7739,364,0.001,1933,5599,,,
https://pixeltool.pro/tools/json-tools,mobile,66,7060,214,0.001,2172,5916,,,
https://pixeltool.pro/tools/regex-tester,mobile,57,9402,410,0.000,2180,6121,,,
https://pixeltool.pro/tools/javascript-syntax-checker,mobile,67,7062,187,0.001,2160,5852,,,
https://pixeltool.pro/tools/http-status-codes,mobile,67,7738,214,0.001,1741,5601,,,
https://pixeltool.pro/tools/special-symbols-picker,mobile,39,7889,1199,0.000,3453,6335,,,
https://pixeltool.pro/tools/fancy-text-generator,mobile,68,8342,35,0.001,2403,5671,,,
https://pixeltool.pro/tools/text-case-converter,mobile,68,7216,81,0.001,2321,5960,,,
https://pixeltool.pro/tools/emoji-list,mobile,38,9338,10793,0.014,1502,7274,,,
https://pixeltool.pro/tools/text-emoticons,mobile,66,7208,76,0.001,2618,6301,,,
https://pixeltool.pro/tools/text-to-speech,mobile,54,7737,509,0.002,2719,5891,,,
https://pixeltool.pro/tools/text-counter,mobile,70,7135,38,0.001,1704,5804,,,
https://pixeltool.pro/tools/text-diff-tool,mobile,71,7210,47,0.001,1704,5557,,,
https://pixeltool.pro/tools/invisible-character,mobile,70,7217,29,0.001,1705,5940,,,
https://pixeltool.pro/tools/morse-code-translator,mobile,68,7285,155,0.001,1876,5665,,,
https://pixeltool.pro/tools/team-randomizer,mobile,63,6914,253,0.001,2644,5927,,,
https://pixeltool.pro/tools/draw-lots,mobile,67,7435,64,0.001,2749,5731,,,
https://pixeltool.pro/tools/random-number-generator,mobile,57,7212,362,0.001,2945,6220,,,
https://pixeltool.pro/tools/random-list-generator,mobile,69,7214,113,0.001,1874,5912,,,
https://pixeltool.pro/tools/coin-flip,mobile,66,10156,160,0.001,2172,5826,,,
https://pixeltool.pro/tools/dice-roller,mobile,46,6831,937,0.002,2957,5877,,,
https://pixeltool.pro/tools/qr-generator,mobile,62,7134,373,0.001,1742,5740,,,
https://pixeltool.pro/tools/qr-scanner,mobile,67,7215,86,0.001,2593,6102,,,
https://pixeltool.pro/tools/password-generator,mobile,67,7290,57,0.001,2757,5767,,,
